sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2023-08-21;"2,159.76";"2,137.65";"2,139.03";;1;
2023-08-18;"2,150.06";"2,132.09";"2,145.66";;1;
2023-08-17;"2,167.58";"2,151.40";"2,154.56";;1;
2023-08-16;"2,185.50";"2,166.39";"2,180.56";;1;
2023-08-15;"2,204.30";"2,172.52";"2,178.50";;1;
2023-08-14;"2,210.10";"2,191.27";"2,203.30";;1;
2023-08-11;"2,217.62";"2,195.61";"2,203.40";;1;
2023-08-10;"2,230.91";"2,212.81";"2,223.17";;1;
2023-08-09;"2,226.22";"2,206.91";"2,209.52";;1;
2023-08-08;"2,210.44";"2,187.08";"2,194.44";;1;
2023-08-07;"2,209.83";"2,192.35";"2,209.83";;1;
2023-08-04;"2,213.86";"2,192.24";"2,209.64";;1;
2023-08-03;"2,214.34";"2,189.73";"2,196.59";;1;
2023-08-02;"2,229.43";"2,199.59";"2,222.74";;1;
2023-08-01;"2,252.86";"2,239.92";"2,240.12";;1;
2023-07-31;"2,256.82";"2,245.05";"2,250.92";;1;
2023-07-28;"2,258.64";"2,246.35";"2,253.85";;1;
2023-07-27;"2,265.78";"2,237.01";"2,254.15";;1;
2023-07-26;"2,255.76";"2,220.08";"2,235.23";;1;
2023-07-25;"2,261.80";"2,233.16";"2,259.09";;1;
2023-07-24;"2,244.18";"2,217.99";"2,243.81";;1;
2023-07-21;"2,228.80";"2,202.29";"2,227.45";;1;
2023-07-20;"2,225.70";"2,199.98";"2,224.52";;1;
2023-07-19;"2,263.32";"2,234.59";"2,235.75";;1;
2023-07-18;"2,259.58";"2,239.62";"2,258.83";;1;
2023-07-17;"2,244.24";"2,225.85";"2,243.13";;1;
2023-07-14;"2,259.27";"2,243.04";"2,248.08";;1;
2023-07-13;"2,270.50";"2,254.84";"2,261.20";;1;
2023-07-12;"2,266.27";"2,239.16";"2,264.21";;1;
2023-07-11;"2,253.40";"2,231.26";"2,247.96";;1;
2023-07-10;"2,247.93";"2,228.70";"2,243.79";;1;
2023-07-07;"2,254.68";"2,227.33";"2,246.19";;1;
2023-07-06;"2,270.18";"2,229.36";"2,238.51";;1;
2023-07-05;"2,296.76";"2,274.44";"2,279.42";;1;
2023-07-04;"2,301.84";"2,290.29";"2,295.93";;1;
2023-07-03;"2,316.34";"2,294.59";"2,294.59";;1;
2023-06-30;"2,314.18";"2,290.61";"2,309.90";;1;
2023-06-29;"2,292.50";"2,259.05";"2,284.77";;1;
2023-06-28;"2,268.46";"2,254.69";"2,262.07";;1;
2023-06-27;"2,244.62";"2,220.87";"2,244.60";;1;
2023-06-26;"2,240.29";"2,205.37";"2,238.50";;1;
2023-06-22;"2,246.03";"2,224.29";"2,235.41";;1;
2023-06-21;"2,280.03";"2,258.77";"2,265.63";;1;
2023-06-20;"2,290.23";"2,276.95";"2,281.16";;1;
2023-06-19;"2,312.47";"2,289.58";"2,292.68";;1;
2023-06-16;"2,326.12";"2,311.23";"2,322.64";;1;
2023-06-15;"2,317.44";"2,292.55";"2,310.66";;1;
2023-06-14;"2,315.23";"2,303.69";"2,312.75";;1;
2023-06-13;"2,325.57";"2,308.98";"2,320.96";;1;
2023-06-12;"2,315.54";"2,295.17";"2,299.50";;1;
2023-06-09;"2,309.13";"2,292.92";"2,301.98";;1;
2023-06-08;"2,311.53";"2,295.46";"2,302.98";;1;
2023-06-07;"2,311.80";"2,299.86";"2,305.36";;1;
